VegID,EmissionType,CommonName,GenusGroup,Family,GrowthForm,Type,References,Comment,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6
Abies equi-trojani,AbiesAlba,fir,AbiesIso,Pinaceae,Ntr,species,,,16,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies fraseri,AbiesFraseri,Fraser fir,Abies,Pinaceae,Ntr,species,,,1.8,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies grandis,AbiesGrandis,grand fir,Abies,Pinaceae,Ntr,species,,,0.05,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies insignis,AbiesAlba,,AbiesIso,Pinaceae,Ntr,species,,,16,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies lasiocarpa,AbiesGrandis,subalpine fir,Abies,Pinaceae,Ntr,species,,,0.05,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies magnifica,AbiesGrandis,California red fir,Abies,Pinaceae,Ntr,species,,,0.05,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies marocana,AbiesAlba,,AbiesIso,Pinaceae,Ntr,species,,,16,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies nebrodensis,AbiesFraseri,,Abies,Pinaceae,Ntr,species,,,1.8,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies nordmanniana,AbiesAlba,fir,AbiesIso,Pinaceae,Ntr,species,,,16,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies numidica,AbiesAlba,,AbiesIso,Pinaceae,Ntr,species,,,16,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies pardei,AbiesAlba,,AbiesIso,Pinaceae,Ntr,species,,,16,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies pinsapo,AbiesGrandis,,AbiesIso,Pinaceae,Ntr,species,,,0.05,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abies procera,AbiesGrandis,noble fir,Abies,Pinaceae,Ntr,species,,,0.05,0.02,0.4,0.2,0.1,0.4,0.2,0.05,0.04,0.01,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abutilon,NoData,,Abutilon,Malvaceae,Btr,genus,,,4,0.02,0.12,0.12,0.06,0.06,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Abutilon striatum,NoData,,Abutilon,Malvaceae,Btr,species,,,4,0.02,0.12,0.12,0.06,0.06,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia,Acacia,acacia,Acacia,Fabaceae,Btr,genus,,,4,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia amara,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia aneura,AcaciaAmara,mulga,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia auculaeformis,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia auriculiformis,AcaciaAmara,earleaf acacia,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia baileyana,AcaciaAmara,cootamundra wattle,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia berlandieri,AcaciaAmara,guajillo,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia borleae,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia burkei,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia caffra,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia cognata,AcaciaAmara,bower wattle,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia confusa,AcaciaAmara,small Philippine acacia,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia constricta,AcaciaAmara,whitethorn acacia,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia craspedocarpa,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia crassiramia,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia cultriformis,AcaciaAmara,knife acacia,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia cyanophylla,AcaciaAmara,,Acacia,Fabaceae,Unknown,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia cyclops,AcaciaAmara,coastal wattle,Acacia,Fabaceae,Shrub,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia dealbata,AcaciaAmara,silver wattle,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia decurrens,AcaciaAmara,green wattle,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia erioloba,Acacia erioloba,camelthorn,Acacia_MT,Fabaceae,Btr,species,,,0.2,0.02,4,1,1,1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia farnesiana,AcaciaAmara,sweet acacia,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia floribunda,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia galpinii,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia greggii,AcaciaAmara,catclaw acacia,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia guachapele,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia harpophylla,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia holosericea,AcaciaAmara,candelabra wattle,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia intsia,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia julibrissin,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia karroo,AcaciaAmara,karroothorn,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia longifolia,AcaciaAmara,Sydney golden wattle,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia lucidior,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia mangium,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia melanoxylon,AcaciaAmara,blackwood,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia nigrescens,Acacia nigrescens,knobthorn,Acacia_ISO,Fabaceae,Btr,species,,,8,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia nilotica,AcaciaAmara,gum arabic tree,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia paradoxa,AcaciaAmara,paradox acacia,Acacia,Fabaceae,Shrub,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia pendula,AcaciaAmara,myall acacia,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia pennata,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia pentagona,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia podalyriaefolia,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia podalyriifolia,AcaciaAmara,pearl wattle,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia polyacantha,AcaciaAmara,catechu tree,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia pravissima,AcaciaAmara,wedge-leaf wattle,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia pycnantha,Acacia nigrescens,golden wattle,Acacia_ISO,Fabaceae,Btr,species,,,8,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia redolens,AcaciaAmara,bank catclaw,Acacia,Fabaceae,Shrub,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia retinodes,AcaciaAmara,water wattle,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia rigidula,AcaciaAmara,blackbrush acacia,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia robusta,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia rubusta,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia salicina,AcaciaAmara,cooba,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia saligna,AcaciaAmara,orange wattle,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia senegal,AcaciaAmara,gum arabic,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia sieberana,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia smallii,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia sophorae,AcaciaAmara,acacia,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia stenophylla,AcaciaAmara,Dalby myall,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia subporosa,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia tortilis,AcaciaAmara,umbrella thorn,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia willardiana,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia xanthoploea,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acacia zygia,AcaciaAmara,,Acacia,Fabaceae,Btr,species,,,0.2,0.02,0.4,0.1,0.1,0.1,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acalypha,NoData,,Acalypha,Euphorbiaceae,Herb,genus,,,4,0.02,0.12,0.12,0.06,0.06,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acalypha wilkesiana,NoData,common threeseed mercury,Acalypha,Euphorbiaceae,Herb,species,,,4,0.02,0.12,0.12,0.06,0.06,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acamptopappus,NoData,,Acamptopappus,TBD,Shrub,genus,from LFRDB,,4,0.02,0.12,0.12,0.06,0.06,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acanthopanax,NoData,,Acanthopanax,Araliaceae,btr,genus,,,4,0.02,0.12,0.12,0.06,0.06,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acanthopanax evodiaefolius,NoData,,Acanthopanax,Araliaceae,btr,species,,,4,0.02,0.12,0.12,0.06,0.06,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acca,NoData,,Acca,Myrtaceae,Btr,genus,,,4,0.02,0.12,0.12,0.06,0.06,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acca sellowiana,NoData,_ineapple guava,Acca,Myrtaceae,Btr,species,,,4,0.02,0.12,0.12,0.06,0.06,0.04,0.05,0.06,0.04,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acer,Acer,maple,Acer,Aceraceae,Btr,genus,,,0.1,0.02,0.3,0.1,0.05,0.3,0.05,0.05,0.001,0.001,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acer barbatum,Acer,southern sugar maple,Acer,Sapindaceae,Btr,species,,Previously included in Aceraceae family,0.1,0.02,0.3,0.1,0.05,0.3,0.05,0.05,0.001,0.001,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acer barbinerve,Acer,,Acer,Aceraceae,Btr,species,,,0.1,0.02,0.3,0.1,0.05,0.3,0.05,0.05,0.001,0.001,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acer buergerianum,Acer,trident maple,Acer,Aceraceae,Btr,species,,Previously included in Aceraceae family,0.1,0.02,0.3,0.1,0.05,0.3,0.05,0.05,0.001,0.001,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acer campestre,Acer,hedge maple,Acer,Aceraceae,Btr,species,,Previously included in Aceraceae family,0.1,0.02,0.3,0.1,0.05,0.3,0.05,0.05,0.001,0.001,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acer circinatum,Acer,vine maple,Acer,Sapindaceae,Btr,species,,Previously included in Aceraceae family,0.1,0.02,0.3,0.1,0.05,0.3,0.05,0.05,0.001,0.001,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acer floridanum,Acer,,Acer,Aceraceae,Btr,species,,,0.1,0.02,0.3,0.1,0.05,0.3,0.05,0.05,0.001,0.001,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
Acer glabrum,Acer,Rocky Mountain maple,Acer,Sapindaceae,Btr,species,,Previously included in Aceraceae family,0.1,0.02,0.3,0.1,0.05,0.3,0.05,0.05,0.001,0.001,1.6,0.24,0.7,0.4,1,0.1,0.2,0.04,1.6,0.5,0.8,0.3,0.4
