EcoTypeID,VegID,ShrubSpecFrac
3408,GFShrub,1
3409,GFShrub,1
3410,GFShrub,1
3411,GFShrub,1
3412,GFShrub,1
3413,GFShrub,1
3414,GFShrub,1
3415,GFShrub,1
3416,GFShrub,1
3417,GFShrub,1
3418,GFShrub,1
3419,GFShrub,1
3420,GFShrub,1
3421,GFShrub,1
3422,GFShrub,1
3423,GFShrub,1
3425,GFShrub,1
3426,GFShrub,1
3428,GFShrub,1
3429,GFShrub,1
3430,GFShrub,1
3433,GFShrub,1
3434,GFShrub,1
3435,GFShrub,1
3436,GFShrub,1
3437,GFShrub,1
3438,GFShrub,1
3439,GFShrub,1
3440,GFShrub,1
3442,GFShrub,1
3443,GFShrub,1
3444,GFShrub,1
3446,GFShrub,1
3447,GFShrub,1
3448,GFShrub,1
3449,GFShrub,1
3450,GFShrub,1
3451,GFShrub,1
3452,GFShrub,1
3453,GFShrub,1
3454,GFShrub,1
3455,GFShrub,1
3456,GFShrub,1
3457,GFShrub,1
3458,GFShrub,1
3459,GFShrub,1
3460,GFShrub,1
3461,GFShrub,1
3462,GFShrub,1
3463,GFShrub,1
3464,GFShrub,1
3466,GFShrub,1
3467,GFShrub,1
3468,GFShrub,1
3469,GFShrub,1
3470,GFShrub,1
3471,GFShrub,1
3472,GFShrub,1
3473,GFShrub,1
3474,GFShrub,1
3475,GFShrub,1
3476,GFShrub,1
3477,GFShrub,1
3478,GFShrub,1
3479,GFShrub,1
3480,GFShrub,1
3481,GFShrub,1
3482,GFShrub,1
3483,GFShrub,1
3485,GFShrub,1
3486,GFShrub,1
3488,GFShrub,1
3489,GFShrub,1
3490,GFShrub,1
3491,GFShrub,1
3492,GFShrub,1
3493,GFShrub,1
3494,GFShrub,1
3495,GFShrub,1
3497,GFShrub,1
3498,GFShrub,1
3499,GFShrub,1
3501,GFShrub,1
3502,GFShrub,1
3503,GFShrub,1
3504,GFShrub,1
3506,GFShrub,1
3507,GFShrub,1
3509,GFShrub,1
3510,GFShrub,1
3511,GFShrub,1
3512,GFShrub,1
3513,GFShrub,1
3517,GFShrub,1
3518,GFShrub,1
3519,GFShrub,1
3522,GFShrub,1
3523,GFShrub,1
3524,GFShrub,1
3525,GFShrub,1
3526,GFShrub,1
3527,GFShrub,1
3528,GFShrub,1
3529,GFShrub,1
3531,GFShrub,1
3532,GFShrub,1
3533,GFShrub,1
3534,GFShrub,1
3535,GFShrub,1
3536,GFShrub,1
3538,GFShrub,1
3539,GFShrub,1
3540,GFShrub,1
3546,GFShrub,1
3550,GFShrub,1
3551,GFShrub,1
3552,GFShrub,1
3553,GFShrub,1
3554,GFShrub,1
3555,GFShrub,1
3556,GFShrub,1
3557,GFShrub,1
3558,GFShrub,1
3559,GFShrub,1
3560,GFShrub,1
3561,GFShrub,1
3562,GFShrub,1
3563,GFShrub,1
3564,GFShrub,1
3565,GFShrub,1
3566,GFShrub,1
3567,GFShrub,1
3568,GFShrub,1
3569,GFShrub,1
3570,GFShrub,1
3571,GFShrub,1
3572,GFShrub,1
3573,GFShrub,1
3574,GFShrub,1
3575,GFShrub,1
3576,GFShrub,1
3577,GFShrub,1
3578,GFShrub,1
3579,GFShrub,1
3580,GFShrub,1
3581,GFShrub,1
3582,GFShrub,1
3583,GFShrub,1
3584,GFShrub,1
3585,GFShrub,1
3586,GFShrub,1
3587,GFShrub,1
3588,GFShrub,1
3589,GFShrub,1
3590,GFShrub,1
3591,GFShrub,1
3900,GFShrub,1
3901,GFShrub,1
3902,GFShrub,1
3903,GFShrub,1
3904,GFShrub,1
3905,GFShrub,1
3906,GFShrub,1
3907,GFShrub,1
3908,GFShrub,1
3909,GFShrub,1
3910,GFShrub,1
3911,GFShrub,1
3912,GFShrub,1
3913,GFShrub,1
3914,GFShrub,1
3915,GFShrub,1
3916,GFShrub,1
3917,GFShrub,1
3918,GFShrub,1
3919,GFShrub,1
3920,GFShrub,1
3921,GFShrub,1
3922,GFShrub,1
3923,GFShrub,1
3924,GFShrub,1
3925,GFShrub,1
3926,GFShrub,1
3927,GFShrub,1
3928,GFShrub,1
3929,GFShrub,1
3930,GFShrub,1
3931,GFShrub,1
3932,GFShrub,1
3933,GFShrub,1
3934,GFShrub,1
3935,GFShrub,1
3936,GFShrub,1
3937,GFShrub,1
3938,GFShrub,1
3939,GFShrub,1
3940,GFShrub,1
3941,GFShrub,1
3942,GFShrub,1
3943,GFShrub,1
3944,GFShrub,1
3945,GFShrub,1
3946,GFShrub,1
3947,GFShrub,1
3948,GFShrub,1
3949,GFShrub,1
3950,GFShrub,1
3951,GFShrub,1
3952,GFShrub,1
3953,GFShrub,1
3954,GFShrub,1
3955,GFShrub,1
3956,GFShrub,1
3957,GFShrub,1
3958,GFShrub,1
3959,GFShrub,1
3960,GFShrub,1
3961,GFShrub,1
3962,GFShrub,1
3963,GFShrub,1
3964,GFShrub,1
3965,GFShrub,1
3966,GFShrub,1
3967,GFShrub,1
3968,GFShrub,1
3969,GFShrub,1
3970,GFShrub,1
3971,GFShrub,1
3972,GFShrub,1
3973,GFShrub,1
3974,GFShrub,1
3975,GFShrub,1
3976,GFShrub,1
3977,GFShrub,1
3978,GFShrub,1
3979,GFShrub,1
3980,GFShrub,1
3981,GFShrub,1
3982,GFShrub,1
3983,GFShrub,1
3984,GFShrub,1
3985,GFShrub,1
3986,GFShrub,1
3987,GFShrub,1
3988,GFShrub,1
3989,GFShrub,1
3990,GFShrub,1
3991,GFShrub,1
3992,GFShrub,1
3993,GFShrub,1
3994,GFShrub,1
3995,GFShrub,1
3996,GFShrub,1
3997,GFShrub,1
3998,GFShrub,1
3999,GFShrub,1
5001,GFShrub,1
5002,GFShrub,1
5003,GFShrub,1
5004,GFShrub,1
5005,GFShrub,1
5006,GFShrub,1
5007,GFShrub,1
5008,GFShrub,1
5009,GFShrub,1
5010,GFShrub,1
5011,GFShrub,1
5012,GFShrub,1
5013,GFShrub,1
5014,GFShrub,1
5015,GFShrub,1
5016,GFShrub,1
5017,GFShrub,1
5018,GFShrub,1
5019,GFShrub,1
5020,GFShrub,1
5021,GFShrub,1
5022,GFShrub,1
5023,GFShrub,1
5024,GFShrub,1
5025,GFShrub,1
5026,GFShrub,1
5027,GFShrub,1
5028,GFShrub,1
5029,GFShrub,1
5030,GFShrub,1
5031,GFShrub,1
5032,GFShrub,1
5033,GFShrub,1
5034,GFShrub,1
5035,GFShrub,1
5036,GFShrub,1
5037,GFShrub,1
5038,GFShrub,1
5039,GFShrub,1
5040,GFShrub,1
5041,GFShrub,1
5042,GFShrub,1
5043,GFShrub,1
5044,GFShrub,1
5045,GFShrub,1
5046,GFShrub,1
5047,GFShrub,1
5048,GFShrub,1
5049,GFShrub,1
5050,GFShrub,1
5051,GFShrub,1
5052,GFShrub,1
5053,GFShrub,1
5054,GFShrub,1
5055,GFShrub,1
5056,GFShrub,1
5057,GFShrub,1
5058,GFShrub,1
5059,GFShrub,1
5060,GFShrub,1
5061,GFShrub,1
5062,GFShrub,1
5063,GFShrub,1
5064,GFShrub,1
5065,GFShrub,1
5066,GFShrub,1
5067,GFShrub,1
5068,GFShrub,1
5069,GFShrub,1
5070,GFShrub,1
5071,GFShrub,1
5072,GFShrub,1
5073,GFShrub,1
5074,GFShrub,1
5075,GFShrub,1
5076,GFShrub,1
5077,GFShrub,1
5078,GFShrub,1
5079,GFShrub,1
5080,GFShrub,1
5081,GFShrub,1
5082,GFShrub,1
5083,GFShrub,1
5084,GFShrub,1
5085,GFShrub,1
5086,GFShrub,1
5087,GFShrub,1
5088,GFShrub,1
5089,GFShrub,1
5090,GFShrub,1
5091,GFShrub,1
5092,GFShrub,1
5093,GFShrub,1
5094,GFShrub,1
5095,GFShrub,1
5096,GFShrub,1
5097,GFShrub,1
5098,GFShrub,1
5099,GFShrub,1
5100,GFShrub,1
5101,GFShrub,1
5102,GFShrub,1
5103,GFShrub,1
5104,GFShrub,1
5105,GFShrub,1
5106,GFShrub,1
5107,GFShrub,1
5108,GFShrub,1
5109,GFShrub,1
5110,GFShrub,1
5111,GFShrub,1
5112,GFShrub,1
5113,GFShrub,1
5114,GFShrub,1
5115,GFShrub,1
5116,GFShrub,1
5117,GFShrub,1
5118,GFShrub,1
5119,GFShrub,1
5120,GFShrub,1
5121,GFShrub,1
5122,GFShrub,1
5123,GFShrub,1
5124,GFShrub,1
5125,GFShrub,1
5126,GFShrub,1
5127,GFShrub,1
5128,GFShrub,1
5129,GFShrub,1
5130,GFShrub,1
5131,GFShrub,1
5132,GFShrub,1
5133,GFShrub,1
5134,GFShrub,1
5135,GFShrub,1
5136,GFShrub,1
5137,GFShrub,1
5138,GFShrub,1
5139,GFShrub,1
5140,GFShrub,1
5141,GFShrub,1
5142,GFShrub,1
5143,GFShrub,1
5144,GFShrub,1
5145,GFShrub,1
5146,GFShrub,1
5147,GFShrub,1
5148,GFShrub,1
5149,GFShrub,1
5150,GFShrub,1
5151,GFShrub,1
5152,GFShrub,1
5153,GFShrub,1
5154,GFShrub,1
5155,GFShrub,1
5156,GFShrub,1
5157,GFShrub,1
5158,GFShrub,1
5159,GFShrub,1
5160,GFShrub,1
5161,GFShrub,1
5162,GFShrub,1
5163,GFShrub,1
5164,GFShrub,1
5165,GFShrub,1
5166,GFShrub,1
5167,GFShrub,1
5168,GFShrub,1
5169,GFShrub,1
5170,GFShrub,1
5171,GFShrub,1
5172,GFShrub,1
5173,GFShrub,1
5174,GFShrub,1
5175,GFShrub,1
5176,GFShrub,1
5177,GFShrub,1
5179,GFShrub,1
5180,GFShrub,1
5181,GFShrub,1
5182,GFShrub,1
5183,GFShrub,1
5184,GFShrub,1
5185,GFShrub,1
5186,GFShrub,1
5187,GFShrub,1
5188,GFShrub,1
5189,GFShrub,1
5190,GFShrub,1
5191,GFShrub,1
5192,GFShrub,1
5193,GFShrub,1
5194,GFShrub,1
5195,GFShrub,1
5196,GFShrub,1
5197,GFShrub,1
5198,GFShrub,1
5199,GFShrub,1
5200,GFShrub,1
5201,GFShrub,1
5202,GFShrub,1
5203,GFShrub,1
5204,GFShrub,1
5205,GFShrub,1
5206,GFShrub,1
5207,GFShrub,1
5208,GFShrub,1
5209,GFShrub,1
5210,GFShrub,1
5211,GFShrub,1
5212,GFShrub,1
5213,GFShrub,1
5214,GFShrub,1
5215,GFShrub,1
5216,GFShrub,1
5217,GFShrub,1
5218,GFShrub,1
5219,GFShrub,1
5220,GFShrub,1
5221,GFShrub,1
5222,GFShrub,1
5223,GFShrub,1
5224,GFShrub,1
5225,GFShrub,1
5226,GFShrub,1
5227,GFShrub,1
5228,GFShrub,1
5229,GFShrub,1
5230,GFShrub,1
5231,GFShrub,1
5232,GFShrub,1
5233,GFShrub,1
5234,GFShrub,1
5235,GFShrub,1
5236,GFShrub,1
5237,GFShrub,1
5238,GFShrub,1
5239,GFShrub,1
5240,GFShrub,1
5241,GFShrub,1
5242,GFShrub,1
5243,GFShrub,1
5244,GFShrub,1
5245,GFShrub,1
5246,GFShrub,1
5247,GFShrub,1
5248,GFShrub,1
5249,GFShrub,1
5250,GFShrub,1
5251,GFShrub,1
5252,GFShrub,1
5253,GFShrub,1
5254,GFShrub,1
5255,GFShrub,1
5256,GFShrub,1
5257,GFShrub,1
5258,GFShrub,1
5259,GFShrub,1
5260,GFShrub,1
5261,GFShrub,1
5262,GFShrub,1
5263,GFShrub,1
5264,GFShrub,1
5265,GFShrub,1
5266,GFShrub,1
5267,GFShrub,1
5268,GFShrub,1
5269,GFShrub,1
5270,GFShrub,1
5271,GFShrub,1
5272,GFShrub,1
5273,GFShrub,1
5274,GFShrub,1
5275,GFShrub,1
5276,GFShrub,1
5277,GFShrub,1
5278,GFShrub,1
5279,GFShrub,1
5280,GFShrub,1
5281,GFShrub,1
5282,GFShrub,1
5283,GFShrub,1
